ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
circuit maker,ΗΛΕΚΤΡΟΝΙΚΗ,ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,http://circuitmaker.com/About,"CircuitMaker is not just a free EDA software tool from Altium, it’s also a community of creative people and design content, working together to invent circuits and electronics products for a better future.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
circuitmod,"ΗΛΕΚΤΡΟΝΙΚΗ
",ΗΛΕΚΤΡΟΛΟΓΙΑΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΑΥΤΟΜΑΤΙΣΜΟΥ,,http://circuitmod.sourceforge.net/,"Σχεδίαση ηλεκτρονικών Κυκλωμάτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
ClamWinLynis,"ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,,"Antivirus
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
Clonezilla,"ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://clonezilla.org/,Disk Imaging and Cloning ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
CMAPTOOLS,ΝΟΗΤΙΚΟΙ ΧΑΡΤΕΣ,ΑΡΧΑΙΑ,"ΓΥΜΝΑΣΙΟ
",http://cmap.ihmc.us/cmaptools/,Λογισμικό για νοητικούς χάρτες,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Cn3D,ΠΕΡΙΗΓΗΣΗ ΣΕ 3D ΧΑΡΤΕΣ,ΒΙΟΛΟΓΙΑ,ΛΥΚΕΙΟ,https://www.ncbi.nlm.nih.gov/Structure/CN3D/cn3d.shtml,"Cn3D (""see in 3D"") είναι μια βοηθητική εφαρμογή για τον περιηγητή, που σας επιτρέπει να βλέπετε 3διάστατες δομές από την NCBI's Entrez Structure database",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, MACOSX",
Colorillo,ΣΧΕΔΙΑΣΗ,"ΔΗΜΙΟΥΡΓΙΑ ΚΑΙ ΕΚΦΡΑΣΗ
",ΠΡΟΣΧΟΛΙΚΗ,http://colorillo.com/about.php,Συνεργατική πλατφόρμα σχεδίσσης,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE,
CPU Sim,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.cs.colby.edu/djskrien/CPUSim/,"Εξομοίωση CPU
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Dev-C++,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,http://orwelldevcpp.blogspot.gr/,Προγραμματιστικό περιβάλλον ανάπτυξης (IDE)  για προγραμματισμό σε C και σε C++.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
Dia,ΣΧΕΔΙΑΣΗ ΔΙΑΓΡΑΜΜΑΤΩΝ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://dia-installer.de/,"Πρόγραμμα για την κατασκευή διαγραμμάτων (UML, ER, Network Diagrams κ.ά.).",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Dolibar ERP/CRM,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.dolibarr.org/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Dragon Player,,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/multimedia/dragonplayer/,Πρόγραμμα αναπαραγωγής video,,,,
DrPython,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://drpython.sourceforge.net/,Περιβάλλον για την ανάπτυξη κώδικα στη γλώσσα προγραμματισμού Python',OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Drupal,"CMS
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://mydrupal.gr/,Το Drupal είναι ένα ανοιχτού κώδικα Σύστημα διαχείρισης περιεχόμενου (CMS). Χρησιμοποιείται για την δημιουργία και την διαχείριση πολλών και διαφορετικών ιστότοπων.,OPEN SOURCE,,,
DustyScript,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΠΛΗΡΟΦΟΡΙΚΗ,"ΠΡΩΤΟΒΑΘΜΙΑ
","https://sourceforge.net/projects/dustyscript/
","Πρόκειται για μια γλώσσα προγραμματισμού κατάλληλη για παιδιά 8-9 ετών και απλή έτσι ώστε να είναι κατανοητή.
",OPEN SOURCE,EΦΑΡΜΟΓΗ,CROSSPLATFORM,
Dynamic Keyboard,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://www.senteacher.org/download/69/VirtualKeyboard.html,Εικονικά Πληκτρολόγια,,"ΕΦΑΡΜΟΓΗ
",Windows,
Easy Java Simulations,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΦΥΣΙΚΗ,"ΛΥΚΕΙΟ
",http://www.um.es/fem/Ejs/,Εργαλείο κατασκευής και επεξεργασίας προγραμμάτων Java,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Eclipse Java,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://eclipse.org/,Προγραμματιστικό περιβάλλον ανάπτυξης (IDE)  για προγραμματισμό σε Java ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
Edmondo,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,"ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ
",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.edmodo.com/?language=el,Συνεργατική πλατφόρμα,"
",ΠΛΑΤΦΟΡΜΑ,ONLINE,
EDUmips,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.edumips.org/,Εξομοίωση MIPS64 CPU,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
eduTrac,ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ,,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.7mediaws.org/,Συστήματα διαχείρισης Πληροφοριών,,,,
EdX,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://github.com/edx,Πλατφόρμες eLearning,,,,
EKTO!-ΝΟΥΣ: Leaps and Bound switch,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Αυτισμό /κινητικά,Λογισμικό Π.Ι. / ΙΝΤΡΑΚΟΜ,"ΕΦΑΡΜΟΓΗ
",Windows,
electric,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.staticfreesoft.com/,Πλήρες σύστημα αυτοματοποιημένης ηλεκτρονικής σχεδίασης και προσομοίωσης κυκλωμάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
elvis,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://elvis.the-little-red-haired-girl.org/,"Editor  vi/ex clone, ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Enchanting,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://enchanting.robotclub.ab.ca/About,Περιβάλλον προγραμματισμού για LEGO Mindstorms NXT,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
ERPNext,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://erpnext.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
EspoCRM,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.espocrm.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
ESRI's Javascript open API,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΜΕΛΕΤΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ,ΠΡΩΤΟΒΑΘΜΙΑ,,,,,,
eukleides,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.eukleides.org/overview.html,Η γλώσσα Eukleides περιέχει ένα πλήρες πακέτο εντολών για τη δημιουργία σχημάτων της Ευκλείδειας γεωμετρίας,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
Evolution,"ΗΛΕΚΤΡΟΝΙΚΗ ΑΛΛΗΛΟΓΡΑΦΙΑ
","
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://wiki.gnome.org/Apps/Evolution," Πρόκειται για εφαρμογή ηλεκτρονικής αλληλογραφίας για την επιφάνεια εργασίας GNOME, ενώ παράλληλα περιλαμβάνει ημερολόγιο και πρόγραμμα διαχείρισης επαφών.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
extremetuxracer,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://tuxracer.sourceforge.net/,Παιχνίδι – εκμάθηση χειρισμού υπολογιστή,,,,
Ffmpeg,ΜΟΥΣΙΚΗ#ΒΙΝΤΕΟ,ΕΙΚΑΣΤΙΚΑ,"ΓΥΜΝΑΣΙΟ
",https://www.ffmpeg.org/,"Εφαρμογή μετρατροπής και strreaming αρχείων βίντεο / ήχου σε άλλα, όπως FLV και άλλες μορφές βίντεο χρησιμοποιώντας τον κωδικοποιητή XviD / x264
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
FileZilla,ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://filezilla-project.org/index.php,"Εφαρμογή FTP, FTPS and SFTP client with lots of useful features and an intuitive graphical user interface.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
FreeBSD,"ΛΕΙΤΟΥΡΓΙΚΟ ΣΥΣΤΗΜΑ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.freebsd.org/,"FreeBSD is an advanced computer operating system used to power modern servers, desktops, and embedded platforms.",OPEN SOURCE,ΛΕΙΤΟΥΡΓΙΚΟ ΣΥΣΤΗΜΑ,,
FreeCAD,"CAD
","ΜΗΧΑΝΟΛΟΓΙΑΣ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.freecadweb.org/,"Σχεδιαστικά CAD, Μηχανολογίας",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
FreePCB,ΗΛΕΚΤΡΟΝΙΚΗ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,http://www.freepcb.com/,PCB editor για Microsoft Windows,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
Fritzing,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://fritzing.org/home/,"

Λογισμικο προσομοιωσης κατασκευής ηλεκτρονικών πλακετών, ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Fritzing,"ΗΛΕΚΤΡΟΝΙΚΗ
",ΗΛΕΚΤΡΟΛΟΓΙΑΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΑΥΤΟΜΑΤΙΣΜΟΥ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://fritzing.org/,"Σχεδίαση ηλεκτρονικών Κυκλωμάτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
GanttProject,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΩΝ,,,https://www.ganttproject.biz,Διαχείριση έργων,,,,
Gazetalk,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://wiki.cogain.info/index.php/Gazetalk#Download,Διευκόλυνση Κλικ - Εναλλακτική Επικοινωνία,,"ΕΦΑΡΜΟΓΗ
",Windows ALL,
GCC,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,"ΠΛΗΡΟΦΟΡΙΚΗ
",ΛΥΚΕΙΟ,https://gcc.gnu.org/,"The GNU Compiler Collection (GCC) Πρόκειται για συλλογή μεταγλωττιστών για τις γλώσσες C, C++, Objective-C, Fortran, Java και Ada.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
gcompris,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΛΩΣΣΑ,ΠΡΟΣΧΟΛΙΚΗ,http://gcompris.net/index-el.html,"Το GCompris είναι μια σουίτα εκπαιδευτικού λογισμικού και αποτελείται από ένα μεγάλο πλήθος δραστηριοτήτων για παιδιά ηλικίας 2 έως 10 ετών.

Μερικές από τις δραστηριότητες αν και έχουν παιγνιώδη χαρακτήρα, ωστόσο διατηρούν τον εκπαιδευτικό τους προσανατολισμό.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Geany,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,http://www.geany.org,Geany is a text editor using the GTK+ toolkit with basic features of an integrated development environmen,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"LINUX, WINDOWS",
genChemLab,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΧΗΜΕΙΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://genchemlab.sourceforge.net/,εφαρμογή για την προσομοίωση ασκήσεων χημείας στο σχολικό χημικό εργαστήριο,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"LINUX, WINDOWS",
Gene Explorer,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΒΙΟΛΟΓΙΑ,ΛΥΚΕΙΟ,http://intro.bio.umb.edu/GX/,Εφαρμογη εξομοίωσης γονιδιωμάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
GeoGebra,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΛΥΚΕΙΟ#ΓΥΜΝΑΣΙΟ#ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.geogebra.org/,"Το GeoGebra (σύνθεση των λέξεων geometry και algebra) αποτελεί διαδραστικό λογισμικό γεωμετρίας για εκπαιδευτικούς σκοπούς
","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Gibbon,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.gibbonedu.org,Πλατφόρμες eLearning,,,,
Gimp,ΕΠΕΞΕΡΓΑΣΙΑ ΦΩΤΟΓΡΑΦΙΑΣ,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.gimp.org/,"Λογισμικό για επεξεργασία φωτογραφιών, σύνθεση και δημιουργία εικόνων.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
GIT,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,https://git-scm.com/,Το Git (/ɡɪt/) είναι ένα σύστημα ελέγχου εκδόσεων (λέγεται και σύστημα ελέγχου αναθεωρήσεων ή σύστημα ελέγχου πηγαίου κώδικα),OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
GNU Octave,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΛΥΚΕΙΟ,https://www.gnu.org/software/octave/,"Το Octave είναι ένα μαθηματικό πακέτο (και, κατ' επέκταση, μια υψηλού επιπέδου interpreted γλώσσα προγραμματισμού) που προορίζεται για αριθμητικούς υπολογισμούς και πολλά άλλα. Βασικό στοιχείο του είναι η ευκολία με την οποία χειρίζεται κανείς πίνακες
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
GoLab,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,http://www.go-lab-project.eu/,The Go-Lab Project (Global Online Science Labs for Inquiry Learning at School) opens up online science laboratories (remote and virtual labs) for the large-scale use in school education,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
GPeriodic,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΧΗΜΕΙΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://gperiodic.seul.org/,Eφαρμογή για την πλοήγηση στον περιοδικό πίνακα των χημικών στοιχείων,OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
",,
graph,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.padowan.dk/,Εφαρμογή σχεδίασης μαθηματικών γραφημάτων με συντεταγμένες,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
GraphViz,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.graphviz.org/,Graph visualization software,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
gravit,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΦΥΣΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://gravit.slowchop.com/, εργαλείο προσομοίωσης της βαρύτητας. Μεταξύ άλλων παρέχει τη δυνατότητα δημιουργίας τρισδιάστατων βαρυτικών μοτίβων.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
Greenfoot Java,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,"ΠΛΗΡΟΦΟΡΙΚΗ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.greenfoot.org/door,"Visual tools coupled with programming, making learning to program easier ","
OPEN SOURCE",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
gvSIG,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΩΓΡΑΦΙΑ,"ΓΥΜΝΑΣΙΟ
",http://www.gvsig.org/web/home/projects/gvsig-educa,,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Gwenview,"ΠΡΟΒΟΛΗ ΕΙΚΟΝΩΝ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://userbase.kde.org/Gwenview,Προβολέας εικόνων KDE,,,,
Gzip,ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.gzip.org,"Εφαρμογή συμπίεση αρχείων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
HeadMouse,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://www.senteacher.org/download/66/HeadTrackingMouse.html,Εικονικά Πληκτρολόγια,,"ΕΦΑΡΜΟΓΗ
",Windows,
Hot Potatoes,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΠΡΩΤΟΒΑΘΜΙΑ,,το Hot Potatoes είναι μία συλλογή μικρών εφαρμογών για τη δημιουργία ασκήσεων εξάσκησης ή αξιολόγησης μέσω Η/Υ ή διαδικτύου.τ,,,,
http://sxoleio.cu.cc/,"ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://sxoleio.cu.cc/,,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
Inkscape,ΣΧΕΔΙΑΣΗ ΔΙΑΝΥΣΜΑΤΙΚΩΝ ΓΡΑΦΙΚΩΝ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ#ΛΥΚΕΙΟ#ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://inkscape.org/en/,Το Inkscape είναι ένας επεξεργαστής διανυσματικών γραφικών ανοικτού κώδικα,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
Interactive Story Maps,ΔΙΑΔΡΑΣΤΙΚΕΣ ΙΣΤΟΡΙΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://storymaps.arcgis.com/en/,"Esri Story Maps let you combine authoritative maps with narrative text, images, and multimedia content.",,ΠΛΑΤΦΟΡΜΑ,,
Interactive WEB Physics,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,https://www.iwphys.org/,"Innteractive Web Physics is a Java, Web-based animation and problem designer tool. Anyone can quickly design mathematics or physics animations and simulations that run in a web browser. Unlike other solutions, no knowledge of programming is required.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
Italc,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://italc.sourceforge.net/," Εφαρμογή ανοικτού κώδικα για τη διαχείριση μαθημάτων σε σχολικό εργαστήριο υπολογιστών (επίδειξη οθόνης, κλείδωμα υπολογιστών μαθητών, remote control και άλλα πολλά)",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, LINUX",
Jigsawplanet,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.jigsawplanet.com/,Free online jigsaw puzzles,,ΠΛΑΤΦΟΡΜΑ,,
